CallNum,CallDate,CallTime,Source,DuplicateCalls,ReasonCode,ReasonText,ActionCode,PoliceYN,FireIncidents_NotUsed,Jurisdiction,StreetNum,StreetName,StreetSuf,StreetApt,IStreetNum,iStreetName,iStreetSuf,IStreetApt,Location,SiteNum,District,Zone,ReportingCode,Officer1,Officer2,HazardYN,ModifiedDate,ModifiedTime,ModifiedID,CreatedDate,CreatedTime,ClosedByID,CreatedSec,LockedByID,PrimaryOfficer,ClosedDate,ClosedTime
13-30328,20130421,2349,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,32,MILTON,ST,,,,,,SULLIVAN RESIDENCE,3905,,A1,,,,Y,20130421,2354,439,20130421,2350,439,42,439,439,20130421,2354
13-30545,20130422,1556,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,70,DOVER,ST,,,,,,,,,B2,,,,N,20130422,1654,349,20130422,1558,349,22,349,349,20130422,1654
13-32216,20130428,336,H,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,99,FLORENCE,ST,,,,,,,,,B1,,,,N,20130428,352,475,20130428,337,475,1,,,20130428,352
13-33614,20130503,351,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,67,CLINTON,ST,,,,,,,,,B3,,,,N,20130503,403,536,20130503,352,536,12,536,536,20130503,403
13-35595,20130509,2239,E,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,137,GREEN,ST,,,,,,,,,A1,,,,Y,20130510,224,462,20130509,2240,462,18,365,517,20130510,224
13-38211,20130518,2235,O,,GNSH,Gunshot Call By Shotspotter,NC,Y,,BRO,85,LOWELL,ST,,,,,,,,,A2,506,506,,Y,20130518,2240,506,20130518,2236,506,35,506,506,20130518,2240
13-39083,20130521,2202,R,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,127,BATTLES,ST,,,,,,,,,A2,,,,N,20130521,2238,420,20130521,2202,420,47,420,420,20130521,2238
13-40061,20130525,134,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,574,N MAIN,ST,,,,,,,,,A2,,,,Y,20130525,143,475,20130525,134,475,50,475,475,20130525,143
13-40352,20130526,515,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,131,GREEN,ST,,,,,,,,,A1,,,,N,20130526,541,532,20130526,515,532,24,532,532,20130526,541
13-41075,20130528,2133,O,1,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,104,LAURESTON,ST,,,,,,,,,B2,407,407,,N,20130528,2237,407,20130528,2133,407,11,407,407,20130528,2237
13-42286,20130601,2207,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,572,N MAIN,ST,,,,,,NEMOS CARRY ALL MARKET,671,,A2,319,319,518,N,20130601,2213,365,20130601,2208,365,31,,,20130601,2213
13-42600,20130603,311,H,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,32,WINTHROP,ST,,,,,,,,,B2,,,,N,20130603,321,494,20130603,313,494,24,494,494,20130603,321
13-42881,20130604,600,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,24,W ASHLAND,ST,,,,,,,,,A2,384,384,,Y,20130604,607,384,20130604,601,384,46,384,384,20130604,607
13-46261,20130616,823,O,0,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,65,RICHMOND,ST,,,,,,,,,A2,351,351,,Y,20130616,946,281,20130616,824,281,38,281,,20130616,834
13-46284,20130616,940,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,249,PLEASANT,ST,,,,,,,,,A1,,,,N,20130616,950,351,20130616,941,351,30,351,351,20130616,950
13-46413,20130616,2115,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,,SOMERSET,PL,,,,,,,,,B2,,,,N,20130616,2201,407,20130616,2116,407,14,407,407,20130616,2201
13-46755,20130618,249,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,687,MAIN,ST,,,,,,,,,B2,,,,N,20130618,334,442,20130618,250,442,36,,,20130618,334
13-47261,20130619,2011,T,0,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,740,MAIN,ST,,0,RUTLAND,ST,,,,,A2,,,,N,20130619,2015,482,20130619,2012,482,38,482,,20130619,2015
13-48391,20130623,2301,H,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,5,FITZPATRICK,AVE,,,,,,,,,A1,,,,N,20130623,2338,332,20130623,2301,332,17,332,332,20130623,2338
13-48398,20130623,2314,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,,WARREN,AVE,,,W PARK,ST,,,,,B1,,,,Y,20130624,46,461,20130623,2314,461,19,316,461,20130624,46
13-49048,20130626,1155,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,26,JOHNSON,SQ,,,,,,,,,B1,,,,N,20130626,1204,503,20130626,1156,503,14,503,503,20130626,1204
13-50874,20130702,2051,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,MARTIN,PL,,,,,,,,,B2,,,,N,20130702,2142,365,20130702,2052,365,29,,,20130702,2142
13-50909,20130702,2314,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,WHITE,AVE,,,,,,,,,B2,282,282,,N,20130702,2321,365,20130702,2314,365,39,,,20130702,2321
13-51217,20130704,48,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,106,LAURESTON,ST,,,,,,,,,B2,519,519,,Y,20130704,53,515,20130704,49,515,53,515,519,20130704,53
13-51222,20130704,142,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,55,TREMONT,ST,,,,,,,,,B2,,,,N,20130704,149,376,20130704,143,376,48,,,20130704,149
13-51402,20130704,1948,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,153,FORD,ST,,,,,,,,,A2,506,506,,N,20130704,1951,506,20130704,1948,506,54,506,506,20130704,1951
13-51423,20130704,2056,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,MARTIN,PL,,,,,,,,,B2,,,,N,20130704,2106,342,20130704,2057,342,41,342,342,20130704,2106
13-51425,20130704,2058,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,,KEITH,AVE,,,,,,,,,B1,,,,N,20130704,2101,400,20130704,2058,400,41,,,20130704,2101
13-51435,20130704,2116,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,177,N WARREN,AVE,,,,,,,,,A2,,,,N,20130704,2129,518,20130704,2117,518,44,518,,20130704,2129
13-51436,20130704,2118,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,279,N MONTELLO,ST,,,,,,,,,A2,,,,N,20130704,2127,400,20130704,2119,400,59,,,20130704,2127
13-51437,20130704,2119,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,41,SPRING,ST,,,,,,,,,A2,,,,N,20130704,2126,506,20130704,2120,506,36,506,506,20130704,2126
13-51440,20130704,2126,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,,MARTIN,PL,,,,,,,,,B2,,,,N,20130704,2135,454,20130704,2127,454,55,454,454,20130704,2135
13-51442,20130704,2128,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,,EXCHANGE,ST,,,,,,,,,B2,,,,N,20130704,2133,436,20130704,2129,436,13,436,,20130704,2133
13-51444,20130704,2129,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,157,FORD,ST,,,,,,,,,A2,,,,N,20130704,2144,400,20130704,2130,400,1,400,,20130704,2144
13-51446,20130704,2131,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,109,NILSSON,ST,,,,,,,,,B2,,,,N,20130704,2134,436,20130704,2132,436,49,436,,20130704,2134
13-51448,20130704,2133,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,73,CUSTER,ST,,16,THIRD,ST,,,,,B1,,,,N,20130704,2140,509,20130704,2134,509,2,509,,20130704,2140
13-51464,20130704,2148,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,31,HILLBERG,AVE,,,,,,,,,B1,,,,N,20130704,2156,400,20130704,2149,400,37,400,,20130704,2156
13-51466,20130704,2151,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,31,TREMONT,ST,,36,ESSEX,ST,,,,,B2,,,,N,20130704,2154,400,20130704,2151,400,53,,,20130704,2154
13-51469,20130704,2157,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,105,NILSSON,ST,,,,,,,,,B2,,,,N,20130704,2201,400,20130704,2158,400,19,,,20130704,2201
13-51470,20130704,2159,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,,MARTIN,PL,,,,,,,,,B2,,,,N,20130704,2202,400,20130704,2159,400,7,,,20130704,2202
13-51471,20130704,2200,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,65,FULLER,ST,,,,,,,,,B1,,,,Y,20130704,2203,400,20130704,2200,400,50,,,20130704,2203
13-51473,20130704,2203,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,,MARTIN,PL,,,,,,,,,B2,,,,N,20130704,2219,454,20130704,2204,454,55,454,454,20130704,2219
13-51474,20130704,2204,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,26,W PARK,ST,,,,,,,,,B1,,,,Y,20130704,2214,436,20130704,2204,436,50,436,,20130704,2214
13-51475,20130704,2205,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,34,FRENCH,AVE,,,,,,,,,B1,,,,N,20130704,2219,256,20130704,2205,256,50,256,,20130704,2219
13-51482,20130704,2221,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,45,TRIBOU,ST,,,,,,,,,B2,,,,N,20130704,2231,400,20130704,2222,400,15,,,20130704,2231
13-51484,20130704,2223,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,31,TREMONT,ST,,36,ESSEX,ST,,,,,B2,,,,N,20130704,2225,400,20130704,2224,400,59,,,20130704,2225
13-51488,20130704,2231,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,91,LAURESTON,ST,,,,,,,,,B2,,,,Y,20130704,2257,400,20130704,2231,400,53,,,20130704,2257
13-51490,20130704,2232,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,33,HILLBERG,AVE,,,,,,,,,B1,,,,N,20130704,2248,400,20130704,2232,400,49,,,20130704,2248
13-51491,20130704,2233,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,941,MONTELLO,ST,,,,,,,,,B2,,,,N,20130704,2235,400,20130704,2233,400,8,,,20130704,2235
13-51495,20130704,2236,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,26,W PARK,ST,,,,,,,,,B1,,,,Y,20130704,2255,400,20130704,2237,400,43,400,,20130704,2255
13-51496,20130704,2238,T,,GNSH,Gunshot Call By Shotspotter,NA,Y,,BRO,12,LOWELL,ST,,,,,,,,,A2,,,,N,20130704,2244,439,20130704,2238,439,39,439,439,20130704,2244
13-51502,20130704,2255,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,12,LOWELL,ST,,,,,,,,,A2,,,,N,20130704,2259,400,20130704,2255,400,5,400,,20130704,2259
13-51503,20130704,2255,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,1033,WARREN,AVE,,,,,,,,,B2,,,,N,20130704,2300,400,20130704,2256,400,58,,,20130704,2300
13-51504,20130704,2300,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,25,W PARK,ST,,,,,,,,,B1,,,,Y,20130704,2312,436,20130704,2301,436,21,436,,20130704,2312
13-51511,20130704,2309,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,32,WYMAN,ST,,,,,,,,,A2,,,,N,20130704,2329,489,20130704,2310,489,32,489,489,20130704,2329
13-51515,20130704,2313,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,,THIRD,ST,,,,,,,,,B1,,,,N,20130704,2323,400,20130704,2313,400,45,,,20130704,2323
13-51516,20130704,2315,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,16,WINTHROP,ST,,,,,,,,,B2,,,,Y,20130705,120,375,20130704,2315,375,28,242,242,20130705,120
13-51518,20130704,2316,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,19,FOSTER,ST,,,,,,,,,B1,,,,N,20130704,2320,400,20130704,2317,400,51,,,20130704,2320
13-51527,20130704,2332,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,76,SPRING,ST,,,,,,,,,A2,,,,N,20130704,2337,400,20130704,2333,400,44,400,,20130704,2337
13-51530,20130704,2339,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,35,LIVINGSTON,RD,,,,,,,,,A2,,,,N,20130705,53,377,20130704,2340,377,48,377,,20130705,53
13-51536,20130705,0,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,12,LINNEA,AVE,,,,,,,,,B1,,,,Y,20130705,201,375,20130705,1,375,49,,,20130705,201
13-51778,20130705,2226,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,61,WAVERLY,ST,,82,TURNER,ST,,,,,A2,506,506,,N,20130705,2233,506,20130705,2226,506,44,506,506,20130705,2233
13-52016,20130706,2054,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,36,SECOND,ST,,,,,,,,,B1,,,,N,20130706,2108,461,20130706,2054,461,0,461,461,20130706,2108
13-53928,20130714,57,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,30,SHEPPARD,ST,,,,,,,,,B2,,,,N,20130714,100,256,20130714,57,256,47,256,,20130714,100
13-53960,20130714,241,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,24,TURNER,ST,,,,,,,,,A2,,,,N,20130714,840,535,20130714,241,535,36,517,517,20130714,840
13-55570,20130719,1934,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,86,N WARREN,AVE,,,,,,,,,A2,418,418,460,N,20130719,1952,316,20130719,1935,316,43,,,20130719,1952
13-55941,20130721,149,H,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,36,HARVARD,ST,,,,,,,,,B2,,,,Y,20130721,158,375,20130721,152,375,19,,,20130721,158
13-57042,20130724,2256,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,43,NILSSON,ST,,,,,,,,,B2,256,256,,N,20130724,2300,525,20130724,2256,525,24,525,256,20130724,2300
13-57517,20130727,50,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,22,GLENWOOD,ST,,,,,,,,,A1,,,,Y,20130727,240,406,20130727,51,406,44,406,406,20130727,240
13-57528,20130727,145,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,28,FIELD,ST,,,,,,,,,A2,,,,N,20130727,201,386,20130727,146,386,4,386,386,20130727,201
13-59114,20130802,301,H,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,44,EXCHANGE,ST,,482,MONTELLO,ST,,,,,B2,,,,N,20130802,318,526,20130802,306,526,25,526,526,20130802,318
13-60702,20130807,1807,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,592,MAIN,ST,,,,,,,,,B2,229,229,461,N,20130807,1827,229,20130807,1808,229,42,229,229,20130807,1827
13-61390,20130810,703,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,155,W ELM,ST,,,,,,REGISTRAR OF DEEDS,337,,B1,,,,N,20130810,830,473,20130810,705,473,9,473,473,20130810,830
13-61794,20130811,1519,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,10,ELLSWORTH,AVE,,,,,,,,,A1,,,,Y,20130811,1531,398,20130811,1520,398,10,,,20130811,1531
13-61883,20130811,2115,A,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,28,E MARKET,ST,,,,,,,,,B2,,,,N,20130811,2121,482,20130811,2115,482,31,,,20130811,2121
13-62514,20130813,2253,O,,GNSH,Gunshot Call By Shotspotter,UA,Y,,BRO,842,WARREN,AVE,,,,,,,,,B2,287,287,,N,20130814,21,462,20130813,2254,462,39,403,407,20130814,21
13-62985,20130815,1736,H,0,GNSH,Gunshot Call By Shotspotter,,,,BRO,21,NEAL,ST,,,,,,,,,A1,,,,N,20130815,1741,400,20130815,1736,,14,400,,,
13-63377,20130817,411,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,340,N MAIN,ST,,,,,,,,,A2,,,,N,20130817,426,442,20130817,411,442,0,,,20130817,426
13-63671,20130818,116,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,32,SHEPPARD,ST,,,,,,,,,B2,504,504,,N,20130818,118,482,20130818,117,482,12,,,20130818,118
13-63695,20130818,325,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,165,TRIBOU,ST,,,,,,CLERVILLE RESIDENCE,1282,,B1,,,,Y,20130818,346,482,20130818,326,482,46,,,20130818,346
13-63762,20130818,1155,H,0,GNSH,Gunshot Call By Shotspotter,,,,BRO,525,WARREN,AVE,,,,,,,,,B2,,,,Y,20130818,1156,398,20130818,1155,,27,398,,,
13-63882,20130818,2125,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,283,N WARREN,AVE,,,,,,,,,A2,,,,N,20130818,2134,482,20130818,2126,482,39,,,20130818,2134
13-64715,20130821,2035,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,580,MAIN,ST,,1,UNION,ST,,,,,B2,,,,N,20130821,2045,407,20130821,2036,407,8,407,407,20130821,2045
13-65212,20130823,1918,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,28,UNION,ST,,,,,,,,,B2,,,,N,20130823,1926,454,20130823,1919,454,14,454,454,20130823,1926
13-65637,20130825,637,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,873,WARREN,AVE,,,,,,,,,B2,,,,N,20130825,649,536,20130825,637,536,13,536,,20130825,649
13-66156,20130827,135,H,2,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,142,GREEN,ST,,,,,,,,,A1,,,,N,20130827,444,384,20130827,135,384,50,384,384,20130827,444
13-66427,20130828,58,H,2,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,99,PETRONELLI,WAY,,37,MAIN,ST,,,,,A2,,,,N,20130828,127,375,20130828,58,375,51,375,475,20130828,127
13-66882,20130829,1834,O,,GNSH,Gunshot Call By Shotspotter,NA,Y,,BRO,49,ELLIOT,ST,,,,,,,,,A3,335,335,436,N,20130829,1837,335,20130829,1835,335,49,335,335,20130829,1837
13-68320,20130904,154,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,70,WARREN,AVE,,110,GREEN,ST,,,,,A2,,,,Y,20130904,209,473,20130904,154,473,39,473,473,20130904,209
13-68847,20130905,2024,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,29,GLENWOOD,SQ,,,,,,,,,A1,399,399,,Y,20130905,2026,436,20130905,2024,436,39,,,20130905,2026
13-68909,20130906,120,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,70,APPLETON,ST,,,,,,,,,A2,,,,N,20130906,128,536,20130906,120,536,34,536,,20130906,128
13-69340,20130907,1532,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,800,WARREN,AVE,,50,SHEPPARD,ST,,,,,B2,,,,N,20130907,1614,441,20130907,1533,441,21,,,20130907,1614
13-69706,20130908,2307,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,,,,,,,,37 MORELAND ST,,,A1,436,436,460,N,20130908,2340,316,20130908,2308,316,55,316,436,20130908,2340
